Region_Name,Legal_Name
은평구,응암동
은평구,응암동
은평구,증산동
은평구,수색동
서대문구,서대문구
노원구,노원구
노원구,월계동
노원구,월계동
노원구,공릉동
노원구,공릉동
노원구,상계동
구로구,신도림동
구로구,구로동
구로구,구로동
구로구,구로동
구로구,구로동
영등포구,영등포동6가
영등포구,영등포동7가
영등포구,영등포동8가
영등포구,여의도동
구로구,구로동
영등포구,당산동1가
영등포구,당산동2가
영등포구,당산동3가
영등포구,당산동5가
영등포구,당산동6가
영등포구,당산동
서초구,내곡동
영등포구,도림동
영등포구,문래동1가
영등포구,문래동4가
영등포구,문래동5가
영등포구,문래동6가
영등포구,양평동1가
영등포구,양평동2가
영등포구,양평동3가
영등포구,양평동3가
영등포구,양평동4가
영등포구,양평동5가
영등포구,신길동
영등포구,신길동
영등포구,신길동
영등포구,대림동
영등포구,신길동
영등포구,신길동
영등포구,대림동
영등포구,대림동
영등포구,대림동
동작구,노량진동
동작구,노량진동
종로구,종로구
종로구,통의동
종로구,적선동
종로구,체부동
종로구,필운동
종로구,내자동
서초구,신원동
종로구,사직동
종로구,도렴동
종로구,화동
종로구,평동
종로구,송월동
종로구,홍파동
종로구,교북동
종로구,행촌동
종로구,가회동
종로구,재동
종로구,계동
종로구,원서동
동대문구,동대문구
동대문구,답십리동
동대문구,장안동
동대문구,장안동
동대문구,회기동
동대문구,휘경동
동대문구,이문동
중랑구,중랑구
중랑구,면목동
중랑구,면목동
중랑구,면목동
중랑구,면목동
중랑구,면목동
중랑구,면목동
중랑구,묵동
중랑구,묵동
중랑구,망우동
중랑구,망우동
중랑구,망우동
성북구,성북구
동대문구,전농동
서대문구,홍제동
양천구,신월동
서대문구,홍제동
서대문구,홍은동
서대문구,남가좌동
양천구,신월동
양천구,신월동
강서구,방화동
강서구,방화동
구로구,구로구
서대문구,남가좌동
서대문구,북가좌동
서대문구,북가좌동
마포구,아현동
마포구,아현동
마포구,공덕동
마포구,공덕동
마포구,염리동
마포구,공덕동
마포구,용강동
마포구,토정동
마포구,마포동
마포구,대흥동
마포구,노고산동
마포구,현석동
마포구,구수동
마포구,신정동
마포구,서교동
양천구,목동
양천구,목동
성동구,하왕십리동
성동구,마장동
성동구,사근동
성동구,행당동
성동구,응봉동
성동구,금호동1가
성동구,송정동
성동구,송정동
성동구,용답동
강남구,대치동
강남구,대치동
강남구,역삼동
강남구,역삼동
강남구,개포동
강남구,개포동
송파구,풍납동
송파구,풍납동
송파구,마천동
송파구,마천동
송파구,오금동
송파구,석촌동
송파구,잠실동
송파구,잠실동
송파구,잠실동
송파구,신천동
송파구,잠실동
송파구,신천동
강동구,명일동
강동구,암사동
강동구,천호동
강동구,천호동
강동구,성내동
강동구,성내동
강동구,성내동
강동구,둔촌동
강동구,둔촌동
마포구,토정동
마포구,당인동
송파구,잠실동
마포구,하수동
구로구,독산동
구로구,시흥동
마포구,공덕동
마포구,신공덕동
마포구,도화동
마포구,용강동
마포구,마포동
마포구,대흥동
마포구,염리동
마포구,노고산동
마포구,신수동
마포구,현석동
마포구,구수동
마포구,창전동
마포구,상수동
마포구,하중동
마포구,신정동
마포구,서교동
마포구,동교동
마포구,합정동
마포구,망원동
마포구,연남동
마포구,성산동
마포구,중동
마포구,상암동
양천구,신정동
양천구,목동
양천구,신월동
강서구,염창동
강서구,등촌동
강서구,화곡동
강서구,가양동
강서구,마곡동
강서구,내발산동
강서구,외발산동
강서구,공항동
강서구,방화동
강서구,개화동
강서구,과해동
강서구,오곡동
강서구,오쇠동
영등포구,영등포동4가
용산구,용문동
용산구,문배동
종로구,명륜4가
성동구,금호동4가
성동구,성수동1가
성동구,성수동1가
동작구,상도동
성동구,성수동2가
동작구,상도1동
동작구,상도동
동작구,상도동
동작구,상도동
동작구,본동
동작구,동작동
동작구,사당동
동작구,사당동
동작구,사당동
동작구,사당동
동작구,사당동
동작구,대방동
동작구,신대방동
동작구,신대방동
관악구,관악구
관악구,남현동
서초구,서초구
서초구,서초동
서초구,서초동
성북구,돈암동
성북구,돈암동
성북구,안암동1가
성북구,안암동4가
성동구,성수동2가
성북구,안암동5가
성북구,보문동4가
성북구,보문동5가
서초구,도곡동
성북구,보문동6가
성북구,장위동
성북구,장위동
서초구,신사동
강남구,포이동
송파구,이동
강동구,풍납동
강동구,하일동
서초구,반포동
서초구,반포동
서초구,잠원동
서초구,방배동
서초구,방배동
서초구,방배동
서초구,방배동
동대문구,면목동
성동구,화양동
성동구,모진동
성동구,군자동
성동구,중곡동
성동구,능동
성동구,광장동
성동구,구의동
성동구,자양동
노원구,창동
노원구,도봉동
은평구,진관내동
은평구,구파발동
은평구,진관외동
도봉구,미아동
도봉구,번동
도봉구,수유동
도봉구,우이동
영등포구,양평동6가
영등포구,양화동
영등포구,양평동
영등포구,신길동
서초구,개포동
종로구,당주동
종로구,내수동
종로구,세종로
종로구,신문로1가
종로구,신문로2가
종로구,팔판동
종로구,삼청동
종로구,안국동
종로구,소격동
종로구,사간동
종로구,송현동
종로구,부암동
종로구,홍지동
종로구,신영동
종로구,구기동
종로구,평창동
종로구,무악동
종로구,창신동
종로구,창신동
종로구,숭인동
종로구,숭인동
중구,소공동
중구,북창동
중구,태평로2가
중구,남대문로2가
중구,남대문로3가
중구,남대문로4가
중구,봉래동1가
중구,서소문동
중구,정동
중구,필동2가
중구,묵정동
중구,장충동1가
중구,장충동2가
용산구,신계동
용산구,한강로1가
용산구,용산동5가
용산구,한강로3가
용산구,이태원동
용산구,이태원동
용산구,한남동
용산구,한남동
용산구,동빙고동
성동구,성동구
강남구,신사동
강남구,압구정동
은평구,응암동
도봉구,쌍문동
도봉구,쌍문동
도봉구,쌍문동
도봉구,방학동
도봉구,방학동
구로구,고척동
구로구,고척동
구로구,개봉동
구로구,개봉동
구로구,개봉동
구로구,오류동
구로구,오류동
구로구,천왕동
영등포구,영등포구
영등포구,영등포동
영등포구,영등포동1가
영등포구,영등포동2가
영등포구,영등포동3가
영등포구,영등포동4가
영등포구,영등포동5가
영등포구,당산동4가
영등포구,문래동2가
영등포구,문래동3가
성동구,행당동
성동구,행당동
마포구,신공덕동
마포구,도화동
마포구,도화동
마포구,대흥동
마포구,염리동
마포구,신수동
마포구,염리동
마포구,대흥동
마포구,신수동
마포구,노고산동
마포구,서교동
마포구,동교동
마포구,합정동
마포구,망원동
마포구,망원동
마포구,연남동
마포구,성산동
마포구,성산동
마포구,중동
마포구,상암동
양천구,목동
양천구,목동
양천구,신월동
양천구,신월동
양천구,신월동
양천구,신정동
양천구,신정동
양천구,신정동
양천구,신정동
강서구,염창동
강서구,등촌동
강서구,등촌동
강서구,화곡동
강서구,화곡동
강서구,화곡동
강서구,화곡동
강서구,화곡동
강서구,공항동
강서구,과해동
강서구,오곡동
강서구,오쇠동
강서구,개화동
동대문구,전농동
동대문구,답십리동
